LAST SEEN   TYPE      REASON                         OBJECT                            MESSAGE
24m         Normal    Killing                        pod/backend-5467f4779-2v9d9       Stopping container backend
24m         Normal    SuccessfulDelete               replicaset/backend-5467f4779      Deleted pod: backend-5467f4779-2v9d9
24m         Normal    ScalingReplicaSet              deployment/backend                Scaled down replica set backend-5467f4779 from 1 to 0
24m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/backend   failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
24m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/backend   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
23m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/backend   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
23m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/backend   failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
12m         Normal    ScalingReplicaSet              deployment/backend                Scaled up replica set backend-d6457cd68 from 1 to 2
12m         Normal    SuccessfulRescale              horizontalpodautoscaler/backend   New size: 2; reason: cpu resource utilization (percentage of request) above target
12m         Normal    SuccessfulCreate               replicaset/backend-d6457cd68      Created pod: backend-d6457cd68-9zmct
12m         Normal    Scheduled                      pod/backend-d6457cd68-9zmct       Successfully assigned forum-dotnet/backend-d6457cd68-9zmct to forum
12m         Normal    Pulled                         pod/backend-d6457cd68-9zmct       Container image "forum-dotnet-api:git-9d708ae-dirty" already present on machine and can be accessed by the pod
12m         Normal    Started                        pod/backend-d6457cd68-9zmct       Container started
12m         Normal    Created                        pod/backend-d6457cd68-9zmct       Container created
11m         Warning   Unhealthy                      pod/minio-0                       Readiness probe failed: Get "http://10.244.133.145:9000/minio/health/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
