LAST SEEN   TYPE      REASON                         OBJECT                            MESSAGE
37m         Warning   Unhealthy                      pod/backend-5467f4779-lw77s       Readiness probe failed: Get "http://10.244.133.151:8080/health/ready": dial tcp 10.244.133.151:8080: connect: invalid argument
35m         Normal    Scheduled                      pod/backend-d6457cd68-fc59x       Successfully assigned forum-dotnet/backend-d6457cd68-fc59x to forum
35m         Normal    ScalingReplicaSet              deployment/backend                Scaled up replica set backend-d6457cd68 from 0 to 1
35m         Normal    SuccessfulCreate               replicaset/backend-d6457cd68      Created pod: backend-d6457cd68-fc59x
35m         Normal    Started                        pod/backend-d6457cd68-fc59x       Container started
35m         Normal    Pulled                         pod/backend-d6457cd68-fc59x       Container image "forum-dotnet-api:git-9d708ae-dirty" already present on machine and can be accessed by the pod
35m         Normal    Created                        pod/backend-d6457cd68-fc59x       Container created
35m         Normal    Killing                        pod/backend-5467f4779-2v9d9       Stopping container backend
35m         Normal    SuccessfulDelete               replicaset/backend-5467f4779      Deleted pod: backend-5467f4779-2v9d9
35m         Normal    ScalingReplicaSet              deployment/backend                Scaled down replica set backend-5467f4779 from 1 to 0
34m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/backend   failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
34m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/backend   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
33m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/backend   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
33m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/backend   failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
23m         Normal    ScalingReplicaSet              deployment/backend                Scaled up replica set backend-d6457cd68 from 1 to 2
23m         Normal    SuccessfulRescale              horizontalpodautoscaler/backend   New size: 2; reason: cpu resource utilization (percentage of request) above target
23m         Normal    SuccessfulCreate               replicaset/backend-d6457cd68      Created pod: backend-d6457cd68-9zmct
23m         Normal    Scheduled                      pod/backend-d6457cd68-9zmct       Successfully assigned forum-dotnet/backend-d6457cd68-9zmct to forum
23m         Normal    Pulled                         pod/backend-d6457cd68-9zmct       Container image "forum-dotnet-api:git-9d708ae-dirty" already present on machine and can be accessed by the pod
23m         Normal    Started                        pod/backend-d6457cd68-9zmct       Container started
23m         Normal    Created                        pod/backend-d6457cd68-9zmct       Container created
22m         Warning   Unhealthy                      pod/minio-0                       Readiness probe failed: Get "http://10.244.133.145:9000/minio/health/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
